nombre,Latitud,Longitud,coordenadas
UMFH 15 JUAN JOSÉ RÍOS,25.7588,-108.817,"25.7588,-108.817"
UMF 26 LA ENTRADA,25.5713,-108.473,"25.5713,-108.473"
UMFH 9 RUÍZ CORTÍNEZ,25.6987,-108.724,"25.6987,-108.724"
UMF 25 TAMAZULA,25.4435,-108.454,"25.4435,-108.454"
UMF 54 MOCORITO,25.4822,-107.924,"25.4822,-107.924"
UMF 10 VILLA ÁNGEL,24.8206,-107.657,"24.8206,-107.657"
UMFH 33 EL CARRIZO,26.2684,-109.037,"26.2684,-109.037"
UMF 51 LA ANGOSTURA,25.3645,-108.16,"25.3645,-108.16"
UMF 60 NAVOJOA,27.061,-109.4235,"27.061,-109.4235"
UMF 61 NAVOJOA,27.0809,-109.4597,"27.0809,-109.4597"
UMF 62 NAVOJOA,27.0522,-109.4587,"27.0522,-109.4587"
UMF 15 ETCHOJOA,26.9135,-109.6265,"26.9135,-109.6265"
UMF 64 NOGALES,31.2736,-110.9391,"31.2736,-110.9391"
UMF 21 MAGDALENA,30.6367,-110.9594,"30.6367,-110.9594"
UMF 38 ALTAR,30.7145,-111.8355,"30.7145,-111.8355"
UMF 22 PITIQUITO,30.674,-112.0552,"30.674,-112.0552"
UMF 46 SAHUARIPA,29.0569,-109.2339,"29.0569,-109.2339"
UMF 33 COCORIT,27.5738,-109.9546,"27.5738,-109.9546"
UMF 31 1O. DE MAYO,27.4997,-110.1142,"27.4997,-110.1142"
UMF 18 C. MILITAR,27.4095,-110.2478,"27.4095,-110.2478"
UMF 30 JOSÉ BACUM,27.5148,-110.1439,"27.5148,-110.1439"
UMF 34 ANTIGUO MORELOS,22.5538,-99.0859,"22.5538,-99.0859"
UMF 31 MEZCALA,17.9249953,-99.6152917,"17.9249953,-99.6152917"
UMF 27 MACUSPANA,17.7604,-92.5995,"17.7604,-92.5995"
UMF 77 CIUDAD MADERO,22.2473,-97.8555,"22.2473,-97.8555"
UMF 21 ROSARITO,32.3391,-117.0467,"32.3391,-117.0467"
UMF 19 AGUA PRIETA,31.3057,-109.5511,"31.3057,-109.5511"
UMF 41 BALCONES DE ALCALÁ,26.002687,-98.26358,"26.002687,-98.26358"
UMF 25 E. GONZÁLEZ,22.8211,-98.4264,"22.8211,-98.4264"
UMF 78 NUEVO LAREDO,27.4839,-99.5038,"27.4839,-99.5038"
UMF-UMAA 76 NUEVO LAREDO,27.4773,-99.5482,"27.4773,-99.5482"
UMF 36 MATAMOROS,25.8608,-97.4745,"25.8608,-97.4745"
UMF 10 ALTAMIRA,22.3941,-97.9367,"22.3941,-97.9367"
UMF 2 CIUDAD LIMÓN,22.8313,-99.0156,"22.8313,-99.0156"
UMF 66 SAN FERNANDO,24.8556,-98.1579,"24.8556,-98.1579"
UMF 68 JIMÉNEZ,24.2121,-98.4849,"24.2121,-98.4849"
UMF 69 ABASOLO,24.0563,-98.3793,"24.0563,-98.3793"
UMF 73 VILLAGRAN HIDALGO,24.4738,-99.49,"24.4738,-99.49"
UMF 29 E. MANUEL,22.7332,-98.3149,"22.7332,-98.3149"
UMF 22 CIUDAD MIER,26.4218,-99.1556,"26.4218,-99.1556"
UMF 26 LOMA ALTA,22.8882,-99.0278,"22.8882,-99.0278"
UMF 70 SOTO LA MARINA,23.7692,-98.2091,"23.7692,-98.2091"
UMF 23 CIUDAD GUSTAVO DÍAZ ORDAZ,26.234,-98.589,"26.234,-98.589"
UMF 75 PUEBLO VIEJO,22.2155,-97.8314,"22.2155,-97.8314"
UMF 74 TAMPICO ALTO,22.1097,-97.8008,"22.1097,-97.8008"
UMF 4 I. GUAYALEJO,22.9608,-98.9611,"22.9608,-98.9611"
UMF 72 HIDALGO,24.2469,-99.4381,"24.2469,-99.4381"
UMF 22 SAN PABLO MONTE,19.1165,-98.1731,"19.1165,-98.1731"
UMF 18 SANTA CRUZ,19.3563,-98.1516,"19.3563,-98.1516"
UMF 5 SANTO TORIBIO,19.1759,-98.2339,"19.1759,-98.2339"
UMF 7 SANTA INÉS,19.215,-98.2415,"19.215,-98.2415"
UMF 19 BANDERILLA,19.5913,-96.9476,"19.5913,-96.9476"
UMF 10 JALAPA,19.523,-96.9208,"19.523,-96.9208"
UMF 58 JALAPA,19.5253,-96.9286,"19.5253,-96.9286"
UMF 46 GUTIÉRREZ,20.4658,-97.0819,"20.4658,-97.0819"
UMF 30 PEROTE,19.5688,-97.2382,"19.5688,-97.2382"
UMF 44 TLAPACOYAN,19.9616,-97.2198,"19.9616,-97.2198"
UMF 73 POZA RICA,20.5225,-97.4531,"20.5225,-97.4531"
UMF 45 MISANTLA,19.9214,-96.8596,"19.9214,-96.8596"
UMF 17 COATEPEC,19.4504,-96.9551,"19.4504,-96.9551"
UMF 57 VERACRUZ,19.2005,-96.156,"19.2005,-96.156"
UMF 61 VERACRUZ,19.1561,-96.1308,"19.1561,-96.1308"
UMF 54 MAHUIXTLÁN,19.4093,-96.917,"19.4093,-96.917"
UMF 43 ALTOTONGA,19.7695,-97.2481,"19.7695,-97.2481"
UMF 32 ALVARADO,18.7743,-95.7637,"18.7743,-95.7637"
UMF-UMAA 15 TEJERÍA,19.17,-96.228,"19.17,-96.228"
UMF 18 TUZAMAPAN,19.4071,-96.8637,"19.4071,-96.8637"
UMF 70 TRES ZAPOTES,18.4697,-95.4333,"18.4697,-95.4333"
UMF 39 PASO OVEJAS,19.2863,-96.4375,"19.2863,-96.4375"
UMF 37 RINCONADA,19.3589,-96.5701,"19.3589,-96.5701"
UMF 48 TAMIAHUA,21.2732,-97.447,"21.2732,-97.447"
UMF 38 I. GLORIA,19.4284,-96.3963,"19.4284,-96.3963"
UMF 46 ACULA,18.5068,-95.7735,"18.5068,-95.7735"
UMF 63 TIERRA BLANCA,18.4578,-96.3678,"18.4578,-96.3678"
UMF 41 OTATITLÁN,18.1762,-96.0349,"18.1762,-96.0349"
UMF 45 TLACOJALPAN,18.2305,-95.9443,"18.2305,-95.9443"
UMF 44 TUXTILLA,18.2383,-95.8943,"18.2383,-95.8943"
UMF 39 CHACALTIANGUIS,18.3049,-95.8442,"18.3049,-95.8442"
UMF 47 AMATITLAN,18.4277,-95.7306,"18.4277,-95.7306"
UMF 60 COATZACOALCOS,18.1341,-94.4666,"18.1341,-94.4666"
UMF 67 REVOLUCIÓN,18.1476,-94.453,"18.1476,-94.453"
UMF 37 COATZACOALCOS,18.1354,-94.4317,"18.1354,-94.4317"
UMF 34 JUAN DÍAZ,18.1586,-95.1844,"18.1586,-95.1844"
UMF 52 COSOLEACAQUE,18.0031,-94.608,"18.0031,-94.608"
UMF 40 NOPALTEPEC,18.2304,-95.9441,"18.2304,-95.9441"
UMF 42 PARAISO NUEVO,18.2524,-95.9364,"18.2524,-95.9364"
UMF 43 TRES VALLES,18.2358,-96.1424,"18.2358,-96.1424"
UMF 49 GABINO BARREDA,18.1809,-96.0915,"18.1809,-96.0915"
UMF 48 CARLOS CARRILLO,18.3732,-95.7529,"18.3732,-95.7529"
UMF 50 CUATOTOLAPAN,18.1482,-95.298,"18.1482,-95.298"
UMF 30 PIEDRAS NEGRAS,18.7658,-96.184,"18.7658,-96.184"
UMF 28 JOACHIN,18.6357,-96.2337,"18.6357,-96.2337"
UMF 31 TEMAZCAL,18.2411,-96.4026,"18.2411,-96.4026"
UMF 38 TENEJAPAN,18.2964,-95.5845,"18.2964,-95.5845"
UMF 51 ACAYUCAN,17.9574,-94.9188,"17.9574,-94.9188"
UMF 4 CD. MENDOZA,18.8049,-97.18,"18.8049,-97.18"
UMF 29 LOS NARANJOS,18.365,-95.7953,"18.365,-95.7953"
UMF 58 HUATUSCO,19.1477,-96.9577,"19.1477,-96.9577"
UMF 6 IXHUATLANCILLO,18.8647,-97.1112,"18.8647,-97.1112"
UMF 62 MEDIAS AGUAS,17.668,-95.0299,"17.668,-95.0299"
UMF 55 TEXISTEPEC,17.8992,-94.8156,"17.8992,-94.8156"
UMF 56 V. ISLAS,18.0333,-95.5296,"18.0333,-95.5296"
UMF 57 JALTIPAN,17.9718,-94.7215,"17.9718,-94.7215"
UMF 54 IXMATLAHUACA,18.4498,-95.8303,"18.4498,-95.8303"
UMF 52 MÉRIDA,20.969,-89.6256,"20.969,-89.6256"
UMF 56 MÉRIDA,20.9633,-89.6141,"20.9633,-89.6141"
UMF 60 PONIENTE,20.9694,-89.6774,"20.9694,-89.6774"
UMF 8 TZUCACAB,20.0722,-89.0513,"20.0722,-89.0513"
UMF 11 NOCHISTAN,21.3684,-102.8469,"21.3684,-102.8469"
UMF 5 JEREZ,22.6464,-102.9782,"22.6464,-102.9782"
UMF 6 RÍO GRANDE,23.8311,-103.0358,"23.8311,-103.0358"
UMF 7 SOMBRERETE,23.6373,-103.641,"23.6373,-103.641"
UMF 13 NOCHE BUENA,24.7097,-101.6436,"24.7097,-101.6436"
UMF 14 SALAVERNA,24.6322,-101.4869,"24.6322,-101.4869"
UMF 18 S. MARTÍN,23.6429,-103.6353,"23.6429,-103.6353"
UMF 16 CHALCHIHUETES,23.4771,-103.8851,"23.4771,-103.8851"
UMF 17 COLORADA,23.7872,-102.3938,"23.7872,-102.3938"
UMF 28 LORETO,22.2787,-101.9877,"22.2787,-101.9877"
UMF 42 TEUL GONZÁLEZ,21.4643,-103.466,"21.4643,-103.466"
UMF 43 TLALTENANGO,21.7827,-103.3109,"21.7827,-103.3109"
UMF 87 INFONAVIT,29.3381,-100.9817,"29.3381,-100.9817"
UMF 1 ZACATECAS,22.7664,-102.56,"22.7664,-102.56"
UMF 3 GUADALUPE,22.7471,-102.512,"22.7471,-102.512"
UMF 4 GUADALUPE,22.7603,-102.5367,"22.7603,-102.5367"
UMF 9 CONCEPCIÓN,24.6153,-101.4197,"24.6153,-101.4197"
UMF 10 JALPA,21.6448,-102.9769,"21.6448,-102.9769"
UMF 55 FRESNILLO,23.1673,-102.8721,"23.1673,-102.8721"
UMF 15 TERMINAL,24.6391,-101.5531,"24.6391,-101.5531"
UMF 52 CAÑITAS DE F. PESCADOR,23.6046,-102.7282,"23.6046,-102.7282"
UMF 13 AZCAPOTZALCO,19.4805,-99.188,"19.4805,-99.188"
UMF 2 STA. MARÍA,19.4457,-99.1591,"19.4457,-99.1591"
UMF 5 C. ANAHUAC,19.4492,-99.1827,"19.4492,-99.1827"
UMF 17 LEGARIA,19.4526,-99.199,"19.4526,-99.199"
UMF 40 AZCAPOTZALCO,19.4949,-99.1793,"19.4949,-99.1793"
UMF 33 ROSARIO,19.5078,-99.2085,"19.5078,-99.2085"
UMF 44 LA ESCALERA,19.513,-99.1402,"19.513,-99.1402"
UMF 35 C. 7 ZARAGOZA,19.4076,-99.0576,"19.4076,-99.0576"
UMF 120 ZARAGOZA,19.3878,-99.0412,"19.3878,-99.0412"
UMF 3 LA JOYA,19.4603,-99.1095,"19.4603,-99.1095"
UMF 36 C. ATZACOALCO,19.499,-99.0944,"19.499,-99.0944"
UMF 94 SAN JUAN ARAGÓN,19.473,-99.0813,"19.473,-99.0813"
UMF 23 UNIDAD MORELOS,19.4784,-99.097,"19.4784,-99.097"
UMF 4 DOCTORES,19.4193,-99.1506,"19.4193,-99.1506"
UMF 9 SAN PEDRO PINOS,19.388,-99.1857,"19.388,-99.1857"
UMF 18 CONTRERAS,19.315,-99.2426,"19.315,-99.2426"
UMF-UMAA 161 AV. TOLUCA,19.3383,-99.2207,"19.3383,-99.2207"
UMF 21 FCO. DEL PASO,19.4177,-99.1133,"19.4177,-99.1133"
UMF 1 ORIZABA,18.8519,-97.0975,"18.8519,-97.0975"
UMF 7 ORIZABA,18.8402,-97.1056,"18.8402,-97.1056"
UMF 14 I. PUJILTIC,16.278,-92.4525,"16.278,-92.4525"
UMF 13 SAUCILLO,28.0261,-105.2896,"28.0261,-105.2896"
UMF 42 CASAS GRANDES,30.4166,-107.901,"30.4166,-107.901"
UMF 8 STA. BARBARA,26.8099,-105.8171,"26.8099,-105.8171"
UMF 64 CD. JUÁREZ,31.6468,-106.3837,"31.6468,-106.3837"
UMF 45 RODRIGO M. QUEVEDO,31.7817,-107.6304,"31.7817,-107.6304"
UMF 10 ADOLFO LÓPEZ MATEOS,25.1923,-112.1142,"25.1923,-112.1142"
UMF 14 B. TORTUGAS,27.6918,-114.8998,"27.6918,-114.8998"
UMF 9 PALIZADA,18.2556,-92.0979,"18.2556,-92.0979"
UMRM 52 OCAMPO,27.3157,-102.3966,"27.3157,-102.3966"
UMFH 40 CHAPALA,20.2887,-103.1901,"20.2887,-103.1901"
UMF 82 ATENCO,19.5568,-98.9156,"19.5568,-98.9156"
UMF 17 AHUACATLÁN,21.054,-104.4843,"21.054,-104.4843"
UMF 39 CABO SAN LUCAS,22.9423,-109.9454,"22.9423,-109.9454"
UMF 84 TACÍCUARO,19.6788,-101.3472,"19.6788,-101.3472"
UMF 69 CHIHUAHUA,28.7406,-106.139872,"28.7406,-106.139872"
HGZ 1 NUEVA FRONTERA TAPACHULA,14.9111,-92.2753,"14.9111,-92.2753"
UMF 70 CD. JUÁREZ,31.57406,-106.3909,"31.57406,-106.3909"
UMF 13 PALMA,28.0537,-110.7036,"28.0537,-110.7036"
UMFH 11 VICAM,27.6457,-110.2962,"27.6457,-110.2962"
UMF 58 MÉRIDA,20.9281,-89.6078,"20.9281,-89.6078"
UMF 21 CHICOASÉN,16.966,-93.108,"16.966,-93.108"
UMF 42 ALAMOS,27.0221,-108.9319,"27.0221,-108.9319"
UMF 16 COL. GUERRERO,19.4467,-99.1379,"19.4467,-99.1379"
UMF 34 C. PANTITLÁN,19.4066,-99.0679,"19.4066,-99.0679"
UMF 22 FLORENCIA,21.506,-103.5543,"21.506,-103.5543"
UMF 49 SAIN ALTO,23.5831,-103.248,"23.5831,-103.248"
UMF 15 LINDAVISTA,19.485535,-99.130989,"19.485535,-99.130989"
UMF 1 COL. ROMA,19.4292,-99.1566,"19.4292,-99.1566"
UMFH 10 TEQUILA,20.8823,-103.8335,"20.8823,-103.8335"
UMFH 24 AMECA,20.5392,-104.0425,"20.5392,-104.0425"
UMFH 31 AHUALULCO,20.7068,-103.9735,"20.7068,-103.9735"
UMF 168 TEPATITLÁN,20.808,-102.7587,"20.808,-102.7587"
UMFH 18 ZAPOTILTIC,19.6296,-103.427,"19.6296,-103.427"
UMF 46 VILLA ALDAMA,26.4933,-100.431,"26.4933,-100.431"
UMF 38 CFE. PARQUE ESPAÑA,19.4155,-99.1719,"19.4155,-99.1719"
UMF 12 SANTA FE,19.3864,-99.2256,"19.3864,-99.2256"
UMF 1 AGUASCALIENTES,21.8662,-102.2943,"21.8662,-102.2943"
UMF 10 AGUASCALIENTES,21.9002,-102.2935,"21.9002,-102.2935"
UMF 9 AGUASCALIENTES,21.8958,-102.2532,"21.8958,-102.2532"
UMF 7 SAN MARCOS,21.8806,-102.3178,"21.8806,-102.3178"
UMF 2 RINCÓN DE ROMOS,22.2284,-102.3196,"22.2284,-102.3196"
UMF 3 PABELLÓN ARTEAGA,22.1456,-102.2781,"22.1456,-102.2781"
UMF 5 ASIENTOS,22.2352,-102.0869,"22.2352,-102.0869"
UMF 4 CALVILLO,21.847,-102.7066,"21.847,-102.7066"
UMF 39 TECATE,32.5444,-116.631,"32.5444,-116.631"
UMF 25 ENSENADA,31.8633,-116.592,"31.8633,-116.592"
UMF 32 ENSENADA,31.8631,-116.6211,"31.8631,-116.6211"
UMF 27 TIJUANA,32.4844,-116.9403,"32.4844,-116.9403"
UMF 19 TIJUANA,32.5308,-117.0449,"32.5308,-117.0449"
UMF 33 TIJUANA,32.532,-117.076,"32.532,-117.076"
UMFH 15 E. HERMOSILLO,32.5115,-114.9225,"32.5115,-114.9225"
UMFH 3 C. MORELOS,32.6345,-114.8454,"32.6345,-114.8454"
UMFH 2 BENITO JUAREZ,32.5691,-115.0002,"32.5691,-115.0002"
UMFH 5 E. NUEVO LEÓN,32.4199,-115.1923,"32.4199,-115.1923"
UMF 11 EL SAUZAL,31.8967,-116.6997,"31.8967,-116.6997"
UMF 29 ROSARIO,30.0633,-115.7215,"30.0633,-115.7215"
UMF 14 VALLE GUADALUPE,32.08,-116.62,"32.08,-116.62"
UMF 17 ROSARITO,32.3414,-117.0558,"32.3414,-117.0558"
UMFH 13 SAN QUINTÍN,30.5413,-115.9362,"30.5413,-115.9362"
UMF 22 SAN VICENTE,31.33,-116.25,"31.33,-116.25"
UMFH 24 SAN FELIPE,31.021,-114.8345,"31.021,-114.8345"
UMF-UMAA 34 LA PAZ,24.1277,-110.3154,"24.1277,-110.3154"
UMF 8 SANTA  ROSALÍA,27.3468,-112.2727,"27.3468,-112.2727"
UMF 6 SAN JOSE DEL CABO,23.06,-109.6951,"23.06,-109.6951"
UMF 3 VILLA INSURGENTES,25.2645,-111.774,"25.2645,-111.774"
UMF 19 VÍZCAINO,27.6542,-113.4478,"27.6542,-113.4478"
UMF 35 GUERRERO NEGRO,27.9709,-114.0465,"27.9709,-114.0465"
UMF 7 CABO SAN  LUCAS,22.8848,-109.9163,"22.8848,-109.9163"
UMF 3 RAMOS ARIZPE,25.5329,-100.9505,"25.5329,-100.9505"
UMF 88 RAMOS ARIZPE,25.5191,-100.9376,"25.5191,-100.9376"
UMF 4 ARTEAGA,25.4491,-100.8459,"25.4491,-100.8459"
UMF 16 LA BOCANA,26.7911,-113.714,"26.7911,-113.714"
UMF 82 URDIÑOLA,25.4169,-100.9849,"25.4169,-100.9849"
UMF-UMAA 89 SALTILLO,25.4195,-100.9668,"25.4195,-100.9668"
UMF 62 GRAL. CEPEDA,25.3763,-101.4742,"25.3763,-101.4742"
UMF 14 ZARAGOZA,28.4932,-100.9182,"28.4932,-100.9182"
UMF 81 CD. ACUÑA,29.3214,-100.9294,"29.3214,-100.9294"
UMF 25 MELCHOR MUZ,27.8774,-101.5147,"27.8774,-101.5147"
UMF 79 PIEDRAS NEGRAS,28.7044,-100.5259,"28.7044,-100.5259"
UMF 12 ALLENDE,28.3362,-100.8496,"28.3362,-100.8496"
UMF 15 VILLA UNIÓN,28.2261,-100.7319,"28.2261,-100.7319"
UMF 10 S. BUENAVENTURA,27.0567,-101.5506,"27.0567,-101.5506"
UMF 9 VILLA FRONTERA,26.9279,-101.4528,"26.9279,-101.4528"
UMF 85 ROMA,27.0034,-101.7246,"27.0034,-101.7246"
UMF 77 ZACOALCO,20.2218,-103.5746,"20.2218,-103.5746"
UMF 68 BOLAÑOS,21.8309,-103.7806,"21.8309,-103.7806"
UMF 64 TAPALAPA,19.9408,-103.7542,"19.9408,-103.7542"
UMF 86 MONCLOVA,26.9246,-101.3942,"26.9246,-101.3942"
UMF 8 CASTAÑOS,26.7849,-101.4313,"26.7849,-101.4313"
UMF 83 MATAMOROS,25.5361,-103.2281,"25.5361,-103.2281"
UMF 23 SABINAS,27.855,-101.1201,"27.855,-101.1201"
UMF 31 BARROTERAN,27.65,-101.2846,"27.65,-101.2846"
UMF 26 AGUJITA,27.928,-101.3024,"27.928,-101.3024"
UMF 32 SAN JOSÉ AURA,27.5878,-101.373,"27.5878,-101.373"
UMF 28 RANCHERÍAS,27.8169,-101.3917,"27.8169,-101.3917"
UMF 61 LAGUNA DEL REY,27.0285,-103.3655,"27.0285,-103.3655"
UMF 60 NAVA,28.4269,-100.77,"28.4269,-100.77"
UMF 64 MORELOS,28.4016,-100.8831,"28.4016,-100.8831"
UMF 67 E. HIPÓLITO,25.6908,-101.4012,"25.6908,-101.4012"
UMF 74 NADADORES,27.025,-101.5926,"27.025,-101.5926"
UMF 11 COLIMA,19.2533,-103.7266,"19.2533,-103.7266"
UMF 16 COLIMA,19.2378,-103.71,"19.2378,-103.71"
UMF 2 MANZANILLO,19.0436,-104.3201,"19.0436,-104.3201"
UMF 18 COLIMA,19.2629,-103.741,"19.2629,-103.741"
UMF 13 TUXTLA GUTIÉRREZ,16.7576,-93.0888,"16.7576,-93.0888"
UMF-UMAA 23 TUXTLA GUTIÉRREZ,16.7666,-93.1359,"16.7666,-93.1359"
UMF 25 TUXTLA GUTIÉRREZ,16.7493,-93.0777,"16.7493,-93.0777"
UMF 19 LOS HÉROES DE LA SALUD,21.173361,-86.879611,"21.173361,-86.879611"
UMF 11 TAPACHULA,14.9199,-92.2654,"14.9199,-92.2654"
UMF 12 CACAHOATAN,14.9892,-92.1659,"14.9892,-92.1659"
UMF 5 CD. HIDALGO,14.6788,-92.1557,"14.6788,-92.1557"
UMF 40 CD. REFORMA,17.8715,-93.1495,"17.8715,-93.1495"
UMF 7 MAZATÁN,14.8679,-92.4502,"14.8679,-92.4502"
UMF 18 COMITAN,16.2413,-92.1374,"16.2413,-92.1374"
UMF 41 MAL PASO,17.1885,-93.6028,"17.1885,-93.6028"
UMF 42 PEÑITAS,17.407,-93.3344,"17.407,-93.3344"
UMF 4 E. STO. DOMINGO,15.0653,-92.0811,"15.0653,-92.0811"
UMF 44 ESTACIÓN JÚAREZ,17.605,-93.1965,"17.605,-93.1965"
UMF 6 F. CHAPULTEPEC,15.0512,-92.246,"15.0512,-92.246"
UMF 20 ANGOSTURA,16.4018,-92.7786,"16.4018,-92.7786"
UMF 24 CINTALAPA,16.6877,-93.7201,"16.6877,-93.7201"
UMF 29 MAPASTEPEC,15.4506,-92.8892,"15.4506,-92.8892"
UMF 34 VILLAFLORES,16.2373,-93.2704,"16.2373,-93.2704"
UMF 3 VILLA ALDAMA,28.8379,-105.9128,"28.8379,-105.9128"
UMF 54 N. CASAS GRANDES,30.4051,-107.9143,"30.4051,-107.9143"
UMF 46 CD. JUÁREZ,31.7417,-106.4482,"31.7417,-106.4482"
UMF 47 CD. JUÁREZ,31.7252,-106.4795,"31.7252,-106.4795"
UMF 50 CD. JUÁREZ,31.7059,-106.4648,"31.7059,-106.4648"
UMF 48 CD. JUÁREZ,31.667,-106.4037,"31.667,-106.4037"
UMF 61 CD. JUÁREZ,31.7407,-106.4503,"31.7407,-106.4503"
UMF 62 CD. JUÁREZ,31.7368,-106.5091,"31.7368,-106.5091"
UMF 63 CD. JUÁREZ,31.7104,-106.5122,"31.7104,-106.5122"
UMFH 24 C. JIMÉNEZ,27.132,-104.92,"27.132,-104.92"
UMF 37 ASCENCIÓN,31.0922,-107.9972,"31.0922,-107.9972"
UMF 2 NOMBRE DE DIOS,28.6877,-106.083,"28.6877,-106.083"
UMF 4 ÁVALOS,28.6154,-106.0088,"28.6154,-106.0088"
UMF 40 RICARDO FLORES,29.9433,-106.9632,"29.9433,-106.9632"
UMF 38 GUERRERO,28.5471,-107.4796,"28.5471,-107.4796"
UMFH 5 C. MADERA,29.1833,-108.127,"29.1833,-108.127"
UMFH 7 MESA HURACÁN,29.6689,-108.254,"29.6689,-108.254"
UMFH 25 NAICA,27.8547,-105.493,"27.8547,-105.493"
UMFH 31 LA JUNTA,28.4745,-107.33,"28.4745,-107.33"
UMF 28 FCO. PORTILLO,28.5955,-105.8876,"28.5955,-105.8876"
UMF 32 E. CREEL,27.749,-107.6353,"27.749,-107.6353"
UMFH 30 OJINAGA,29.5599,-104.3997,"29.5599,-104.3997"
UMF 55 VALLE BUENAVENTURA,29.8467,-107.4617,"29.8467,-107.4617"
UMF 43 GPE DISTRITO,31.3889,-106.104,"31.3889,-106.104"
UMF 39 EL MOLINO,29.2492,-107.4109,"29.2492,-107.4109"
UMF 50 DURANGO,24.0598,-104.6077,"24.0598,-104.6077"
UMF 44 DURANGO,24.0349,-104.675,"24.0349,-104.675"
UMF 49 DURANGO,24.0002,-104.6484,"24.0002,-104.6484"
UMF 34 A. MTZ. ADAME,25.8344,-103.3831,"25.8344,-103.3831"
UMFH 6 CANATLÁN,24.5237,-104.7809,"24.5237,-104.7809"
UMF 7 NUEVO IDEAL,24.8883,-105.073,"24.8883,-105.073"
UMFH 13 TLAHUALLILO,26.1003,-103.4437,"26.1003,-103.4437"
UMF-UMAA 53 GÓMEZ PALACIO,25.5553,-103.5066,"25.5553,-103.5066"
UMF 29 GÓMEZ PALACIO,25.772,-103.4748,"25.772,-103.4748"
UMF 43 GÓMEZ PALACIO,25.5806,-103.5152,"25.5806,-103.5152"
UMF 11 CD. LERDO,25.5111,-103.5224,"25.5111,-103.5224"
UMF 41 SANTIAGO,25.0445,-105.429,"25.0445,-105.429"
UMF 4 VILLA UNIÓN,23.9734,-104.0463,"23.9734,-104.0463"
UMF 42 TEPEHUANES,25.3448,-105.7185,"25.3448,-105.7185"
UMF 48 NAZAS,25.2341,-104.1154,"25.2341,-104.1154"
UMF 52 NOMBRE DE DIOS,23.8482,-104.2441,"23.8482,-104.2441"
UMFH 24 PUEBLO NUEVO,25.7136,-103.655,"25.7136,-103.655"
UMF 19 LA CIUDAD,23.7295,-105.6859,"23.7295,-105.6859"
UMF 33 PICARDÍAS,25.3238,-103.487,"25.3238,-103.487"
UMF 32 EL VERGEL,25.6468,-103.5304,"25.6468,-103.5304"
UMF 47 LEÓN,21.1364,-101.6635,"21.1364,-101.6635"
UMF 53 LEÓN,21.0971,-101.6368,"21.0971,-101.6368"
UMF 56 LAS MANDARINAS,21.1067,-101.7125,"21.1067,-101.7125"
UMF 51 LEÓN,21.1416,-101.6892,"21.1416,-101.6892"
UMF 9 ACAPULCO,16.8561,-99.9021,"16.8561,-99.9021"
UMF 26 ACAPULCO,16.897,-99.8321,"16.897,-99.8321"
UMF 27 TLAXCOAPAN,20.0909,-99.2273,"20.0909,-99.2273"
UMF 28 EL COLOSO,16.8566,-99.8187,"16.8566,-99.8187"
UMF 12 S. MARCOS,16.7925,-99.3847,"16.7925,-99.3847"
UMF 23 CHILAPA,17.599,-99.1779,"17.599,-99.1779"
UMF 25 OMETEPEC,16.6915,-98.405,"16.6915,-98.405"
UMF 20 COYUCA,18.3313,-100.7,"18.3313,-100.7"
UMF 32 PACHUCA,20.0994,-98.7617,"20.0994,-98.7617"
UMF 25 MINERAL MONTE,20.1389,-98.6821,"20.1389,-98.6821"
UMFH 7 ATOTONILCO,20.008,-99.2214,"20.008,-99.2214"
UMFH 3 CUAUTEPEC,20.0319,-98.3091,"20.0319,-98.3091"
UMF 26 MIXQUIAHUALA,20.216183,-99.220718,"20.216183,-99.220718"
UMF 9 CRUZ AZUL,19.9951619,-99.3271901,"19.9951619,-99.3271901"
UMF 83 CHICOLOAPAN,19.4083,-98.9071,"19.4083,-98.9071"
UMF 31 ZIMAPAN,20.7343,-99.3787,"20.7343,-99.3787"
UMF 16 ACTOPAN,20.2762,-98.9517,"20.2762,-98.9517"
UMF 18 TIZAYUCA,19.8684,-98.9883,"19.8684,-98.9883"
UMF-UMAA 52 GUADALAJARA,20.6564,-103.3282,"20.6564,-103.3282"
UMF 51 GUADALAJARA,20.6979,-103.3493,"20.6979,-103.3493"
UMF 78 GUADALAJARA,20.6518,-103.3007,"20.6518,-103.3007"
UMF 34 GUADALAJARA,20.6384,-103.3761,"20.6384,-103.3761"
UMF 79 GUADALAJARA,20.6916,-103.3521,"20.6916,-103.3521"
UMF 91 EL FRESNO,20.6577,-103.3755,"20.6577,-103.3755"
UMF 88 GUADALAJARA,20.6234,-103.393,"20.6234,-103.393"
UMF 55 GUADALAJARA,20.667,-103.3736,"20.667,-103.3736"
UMF 167 H. PROVINCIA,20.6668,-103.2927,"20.6668,-103.2927"
UMF 49 GUADALAJARA,20.6637,-103.3349,"20.6637,-103.3349"
UMF 233 VALLE BRAVO,19.1958,-100.1343,"19.1958,-100.1343"
UMF 59 TANTOYUCA,21.3387,-98.2189,"21.3387,-98.2189"
UMF 11 AMATITAN,20.8347,-103.7328,"20.8347,-103.7328"
UMF 128 ACATIC,20.7715,-102.9087,"20.7715,-102.9087"
UMFH 22 ATOTONILCO,20.5472,-102.5145,"20.5472,-102.5145"
UMFH 23 LA BARCA,20.2896,-102.5496,"20.2896,-102.5496"
